geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
01000US,United States,324697795,0,159886919,5817,10112614,3826,10276829,16598,10708022,16572,6429069,3398,4411135,5291,2352092,13695,2303286,14015,6639841,18381,11737463,4900,11073985,4231,10520984,19642,9904665,20566,10257989,4596,10494113,3747,10510995,13953,4058895,11507,5576339,14037,3382330,9578,4562962,13026,5857722,11278,3984034,8825,2533303,9088,2198252,8169,164810876,5818,9655056,3510,9880648,19590,10219256,19100,6147898,3435,4220084,5219,2212618,11682,2170437,11474,6336834,15159,11331857,4400,10887110,3818,10550321,16910,10002861,16778,10469781,4149,10850737,3251,11143260,17729,4370261,13361,6096664,14220,3743900,11531,5151607,10653,6843745,15439,4929902,11685,3525274,10508,4070765,9664
04000US06,California,39283497,0,19526298,1141,1254607,535,1257974,6123,1318355,6152,779960,618,529837,837,295438,4457,285103,3566,839739,5625,1591508,680,1484698,740,1359631,6596,1262846,6501,1279131,682,1261859,539,1209041,4848,463834,3944,614865,4658,371074,3539,487802,3811,617578,4097,420939,3293,278686,3207,261793,3162,19757199,1141,1196921,629,1210252,6725,1257108,6643,746969,549,508404,823,264323,3826,265098,4264,801866,4498,1486984,673,1404674,768,1321745,5724,1261665,5786,1284503,542,1275929,524,1264187,4805,490110,4588,668292,5041,409644,3610,556798,3773,729375,4360,518080,3848,382536,3482,451736,3547
05000US06001,"Alameda County, CA",1656754,0,814515,36,49611,0,49375,1054,48777,1054,28149,36,19354,0,10221,694,10048,725,30365,856,68560,0,69852,0,63787,1349,59958,1350,56727,0,54080,0,51870,947,19475,872,26247,910,15412,806,20220,727,25079,727,16781,639,10771,541,9796,521,842239,36,47238,0,45905,1059,47993,1060,26979,36,19583,36,9360,673,10717,813,30417,903,67880,0,69727,0,65087,1366,59398,1366,57136,0,55083,0,54961,1016,20842,812,27966,796,17183,836,23858,844,30227,853,20301,727,15396,720,19002,760
16000US0653000,"Oakland, CA",425097,103,205289,1607,12877,627,11178,648,11957,647,6321,450,3836,379,2043,300,1911,297,7491,516,20009,767,20914,805,18247,819,15648,830,14243,581,12933,604,11594,603,4098,449,5910,451,4207,418,5075,411,6438,445,3929,356,2226,318,2204,246,219808,1609,13803,652,10928,631,11287,665,6123,429,4415,371,2255,341,2217,362,7878,523,22122,814,20768,689,18585,901,15745,850,14244,636,12542,588,13062,736,5279,552,6919,497,4550,457,6180,445,7378,533,4907,395,4071,409,4550,412
31000US41860,"San Francisco-Oakland-Berkeley, CA Metro Area",4701332,0,2325587,307,131866,164,132158,1738,134438,1719,79296,195,49643,240,25734,1100,24771,1201,85990,1398,192499,215,196601,304,179055,1984,163768,2024,165887,154,160448,134,152440,1898,57960,1313,79084,1874,46966,1377,63471,1282,79457,1313,54400,1282,35410,1121,34245,1134,2375745,307,126072,186,126139,1905,129519,1916,75425,147,49162,173,22034,1156,24667,1122,87555,1353,183827,178,189773,207,173460,2164,164247,2160,163544,219,159825,104,157522,1810,61395,1579,83592,1535,51959,1225,73260,1534,94759,1568,65103,1356,49881,1285,63025,1376
86000US94501,"94501",63821,622,30930,874,1579,268,1956,298,1754,263,906,190,477,156,392,139,259,112,1063,225,2611,354,2852,345,2165,316,2560,292,2375,339,1943,267,1945,246,909,180,944,183,688,194,742,152,1332,180,501,130,448,125,529,145,32891,773,2245,321,1617,237,1756,291,721,168,442,133,283,123,231,102,762,185,2490,366,2549,308,2470,304,2628,273,2676,296,2129,261,2140,254,886,177,1302,252,813,153,971,231,1596,217,721,160,703,162,760,188
86000US94502,"94502",14701,625,7309,506,501,162,528,143,446,142,289,130,30,33,99,70,16,25,326,239,358,158,472,130,522,148,486,122,431,153,371,128,592,149,251,105,416,125,165,86,285,113,208,102,282,107,176,77,59,53,7392,366,364,155,469,119,509,136,316,106,0,19,65,55,0,19,175,113,319,110,394,148,604,140,496,153,560,153,461,163,485,154,451,159,344,112,286,98,261,104,306,89,227,99,126,70,174,93
86000US94546,"94546",44378,1173,21678,877,1515,303,1649,269,1158,240,791,184,463,142,195,74,83,50,595,162,1343,265,1328,259,1848,266,1426,277,1339,230,1543,276,1866,312,599,154,920,222,380,114,758,241,877,160,451,134,280,92,271,99,22700,786,1263,245,1249,204,945,233,826,185,264,91,225,108,269,100,497,164,1215,247,1493,244,1968,282,1640,252,1606,262,1743,281,1613,217,680,149,897,205,672,155,651,163,946,183,693,182,475,123,870,193
86000US94563,"94563",19644,107,9320,291,366,165,473,167,811,165,532,150,147,77,21,23,97,74,108,65,203,94,270,121,298,90,723,171,691,156,968,202,746,146,373,132,368,105,351,138,378,126,488,121,453,130,183,77,272,93,10324,277,382,125,584,166,803,159,607,149,183,121,67,79,23,26,238,104,314,126,308,143,491,134,551,126,1067,161,759,134,922,187,288,105,424,120,279,90,360,125,631,141,319,110,257,88,467,126
86000US94577,"94577",47682,1048,22791,671,1261,279,1046,209,1322,279,843,212,431,139,246,112,277,120,967,239,1442,247,1716,260,1510,223,1736,251,1500,244,1707,253,1679,286,891,191,906,201,537,136,595,137,783,160,671,163,354,109,371,104,24891,850,1229,274,1140,212,1277,235,844,203,525,170,230,105,422,134,870,223,1594,294,1851,261,1624,267,1592,239,1809,263,2067,285,1986,220,738,176,850,168,630,135,705,173,933,183,733,174,431,123,811,174
