name,total_population,male_under_5_years,male_5_9_years,male_10_14_years,male_15_17_years,female_under_5_years,female_5_9_years,female_10_14_years,female_15_17_years,total_child_population,pct_child_of_population,crude_child_rate_per_100
"Oakland, CA",425097,12877,11178,11957,6321,13803,10928,11287,6123,84474,0.1987169987,19.87169987
94601,53039,1766,1628,1825,1099,2062,1735,2022,1002,13139,0.2477233734,24.77233734
94602,30162,1084,838,951,420,850,644,746,480,6013,0.1993568066,19.93568066
94603,35862,1474,1148,1627,823,1735,1342,1353,660,10162,0.2833640065,28.33640065
94605,43399,1675,1196,1090,735,1542,861,1212,849,9160,0.2110647711,21.10647711
94606,38220,1004,858,748,416,767,963,1010,433,6199,0.1621925693,16.21925693
94607,26823,605,490,605,446,591,786,368,273,4164,0.1552399061,15.52399061
94608,31013,573,478,438,342,906,363,475,111,3686,0.1188533841,11.88533841
94609,23726,690,482,449,246,580,445,423,123,3438,0.1449043244,14.49043244
94610,31936,696,632,715,287,756,583,555,288,4512,0.1412825651,14.12825651
94611,38975,850,1130,1032,471,1015,696,1121,578,6893,0.1768569596,17.68569596
94612,15785,235,95,199,129,209,62,200,90,1219,0.07722521381,7.722521381
94613,855,6,5,0,0,0,0,0,23,34,0.03976608187,3.976608187
94618,17252,405,528,350,241,477,534,466,277,3278,0.1900069557,19.00069557
94619,24112,647,739,715,244,939,770,532,335,4921,0.2040892502,20.40892502
94621,35035,1560,1507,1692,757,1658,1499,1400,915,10988,0.3136292279,31.36292279
94605 & 94613,44254,1681,1201,1090,735,1542,861,1212,872,9194,0.2077552312,20.77552312
